Ti S_Ti j F(Ti,S_Ti,j) 
0.861386 93.143654 87 0.000000
0.871287 101.533638 43 0.000000
0.881188 112.657211 63 0.000000
0.891089 91.868172 90 0.000000
0.900990 79.736809 91 0.000000
0.910891 142.185364 23 43.081947
0.920792 68.675186 93 0.000000
0.930693 83.799950 92 0.000000
0.940594 114.426315 66 0.000000
0.950495 118.399757 29 18.529081
0.960396 131.958878 66 0.000000
0.970297 110.284454 97 0.000000
0.980198 64.586967 99 0.000000
0.990099 92.695908 84 0.000000
0.009901 100.745049 1 8.241197
0.019802 98.468513 2 7.117424
0.029703 93.565842 3 3.742179
0.039604 104.941589 4 10.453664
0.049505 90.853241 5 2.135474
0.059406 105.743103 6 11.636394
0.069307 95.558563 7 3.732159
0.079208 103.308861 8 10.224536
0.089109 103.266350 9 9.804687
0.099010 103.188431 10 9.712162
0.108911 96.755463 11 3.594474
0.118812 101.077225 12 6.619572
0.128713 102.211487 13 7.544118
0.138614 98.004402 14 3.893670
0.148515 96.261086 15 2.835269
0.158416 94.862976 16 2.308325
0.168317 94.327942 17 1.876986
0.178218 88.638474 18 0.636301
0.188119 105.525139 10 11.564734
0.198020 93.975449 20 1.470285
0.207921 91.060226 21 0.758015
0.217822 104.899147 19 8.755778
0.227723 99.611137 23 3.173667
0.237624 88.260315 24 0.285109
0.247525 102.232124 25 4.586299
0.257426 102.343758 26 4.148100
0.267327 84.413239 27 0.000000
0.277228 95.555824 28 0.721426
0.287129 104.212723 29 5.288757
0.297030 104.091164 30 4.410513
0.306931 103.919205 31 4.228903
0.316832 83.308281 32 0.000000
0.326733 103.848770 17 8.137613
0.336634 98.348938 34 0.257136
0.346535 102.659851 35 1.506205
0.356436 89.561356 36 0.000000
0.366337 135.471527 12 42.114506
0.376238 107.208740 35 4.785879
0.386139 86.564529 39 0.000000
0.396040 109.770760 35 8.779171
0.405941 113.999931 30 16.460836
0.415842 101.670883 22 4.129472
0.425743 120.655838 18 26.238110
0.435644 87.487106 44 0.000000
0.445545 103.249260 43 0.000000
0.455446 100.565956 46 0.000000
0.465347 104.792801 47 0.000000
0.475248 116.772667 24 20.722036
0.485149 88.881676 49 0.000000
0.495050 86.920578 50 0.000000
0.504951 122.914772 17 27.665709
0.514852 94.577850 52 0.000000
0.524752 94.336426 53 0.000000
0.534653 109.239021 46 0.000000
0.544554 113.122612 16 17.083008
0.554455 95.561531 56 0.000000
0.564356 111.691437 42 0.000000
0.574257 93.334404 58 0.000000
0.584158 122.864166 34 25.917486
0.594059 116.336884 23 19.770124
0.603960 88.700546 61 0.000000
0.613861 98.420952 62 0.000000
0.623762 113.400604 60 0.000000
0.633663 112.050751 50 0.000000
0.643564 141.067444 9 0.067121
0.653465 105.569817 50 0.000000
0.663366 96.793457 58 0.000000
0.673267 111.101997 63 0.000000
0.683168 135.001572 9 0.275307
0.693069 110.839821 50 0.000000
0.702970 133.300995 42 0.000000
0.712871 88.033089 71 0.000000
0.722772 94.390160 63 0.000000
0.732673 146.412292 9 0.000000
0.742574 124.379677 28 26.612528
0.752475 89.426109 76 0.000000
0.762376 100.610001 68 0.000000
0.772277 122.950470 35 24.476736
0.782178 96.089470 79 0.000000
0.792079 86.928490 80 0.000000
0.801980 115.923447 74 0.000000
0.811881 88.569107 80 0.000000
0.821782 101.524719 61 0.000000
0.831683 127.143494 27 28.699194
0.841584 135.359787 49 0.000000
0.851485 77.357719 86 0.000000
0.861386 97.370003 86 0.000000
0.871287 102.357445 88 0.000000
0.881188 107.750557 89 0.000000
0.891089 87.174622 90 0.000000
0.900990 123.944511 40 24.641056
0.910891 119.901939 63 0.000000
0.920792 161.330338 35 61.901966
0.930693 87.018257 94 0.000000
0.940594 84.602737 95 0.000000
0.950495 158.959946 7 0.000000
0.960396 104.642456 97 0.000000
0.970297 127.911789 36 27.870605
0.980198 83.385727 99 0.000000
0.990099 148.470810 48 0.000000
0.009901 100.038437 1 7.994396
0.019802 101.113457 2 8.942941
0.029703 107.060158 3 9.574041
0.039604 104.012245 4 10.380067
0.049505 110.232590 4 8.567502
0.059406 97.856117 6 5.746055
0.069307 107.195038 7 12.336599
0.079208 105.751633 8 12.639652
0.089109 100.674080 9 6.986877
0.099010 108.200630 10 15.375679
0.108911 108.766228 10 15.704231
0.118812 99.448051 12 5.182880
0.128713 92.053711 13 1.629200
0.138614 99.545128 14 4.770059
0.148515 94.792107 15 2.126618
0.158416 82.737213 16 0.020668
0.168317 78.766922 17 0.000000
0.178218 106.072357 18 10.447583
0.188119 95.152428 19 2.069794
0.198020 84.055511 20 0.048049
0.207921 102.271744 21 5.449275
0.217822 99.177780 22 3.363737
0.227723 114.072426 9 9.211617
0.237624 106.739861 19 11.132401
0.247525 92.772408 25 0.569719
0.257426 108.655960 15 13.947634
